Id,Prompt,Completion
30,ᱢᱤᱫᱴᱟᱝ ᱯᱷᱟᱢ ᱨᱮ ᱫᱳᱠᱟᱱ ᱨᱮᱭᱟᱜ ᱚᱛᱚᱢ ᱨᱮᱭᱟᱜ ᱢᱩᱲᱩᱫ ᱚᱡᱮ ᱫᱚ ᱪᱮᱫ?,"ᱦᱚᱭᱦᱩᱫᱥᱩᱢ, ᱩᱯᱟᱹᱭ, ᱰᱩᱞᱟᱝ, ᱫᱟᱜ ᱟᱨ ᱥᱟᱧᱪᱟᱣ ᱵᱚᱱᱫᱮᱡ ᱥᱟᱶ ᱰᱩᱞᱟᱝ ᱨᱮᱭᱟᱜ ᱚᱱᱛᱟᱨᱮ ᱟᱨ ᱰᱩᱞᱟᱝ ᱨᱮᱭᱟᱜ ᱵᱤᱞᱟᱹᱛ ᱨᱮ ᱾"
31,ᱢᱮᱥᱴᱟᱭᱴᱤᱥ ᱨᱮᱭᱟᱜ ᱢᱩᱲᱩᱫ ᱚᱡᱮ ᱫᱚ ᱪᱮᱫ?,ᱥᱴᱨᱮᱯᱴᱳᱠᱟᱠᱟᱥ ᱮᱜᱮᱞᱚᱠᱴᱤᱭᱟ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱞᱮᱠᱟᱛᱮ ᱢᱮᱥᱴᱟᱭᱴᱤᱥ ᱥᱟᱶᱛᱮ ᱥᱮᱞᱮᱫ ᱟᱠᱟᱱ ᱢᱩᱲᱩᱫ ᱡᱤᱭᱟᱜ ᱾
32,ᱢᱩᱲᱩᱫ ᱯᱮᱛᱷᱳᱡᱮᱱ ᱠᱚᱣᱟᱜ ᱧᱩᱛᱩᱢ ᱚᱞ ᱢᱮ ᱡᱟᱦᱟᱸ ᱜᱮᱢᱮᱧ ᱟᱠᱟᱱ ᱵᱤᱨᱤᱭᱟᱹ ᱠᱚ ᱴᱷᱮᱱ ᱠᱷᱚᱱ ᱫᱳᱠᱟᱱ ᱨᱮ ᱥᱮᱞᱮᱫ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾,"ᱥᱴᱟᱯᱷᱟᱭᱞᱳᱠᱟᱠᱟᱥ ᱳᱨᱤᱭᱩᱥ, ᱮᱥᱪᱮᱨᱤᱠᱤᱭᱟ ᱠᱳᱞᱤ, ᱞᱮᱥᱴᱮᱨᱤᱭᱟ ᱮᱥᱹᱯᱤᱯᱤ, ᱢᱮᱭᱠᱳᱵᱮᱠᱴᱤᱨᱤᱭᱩᱢ ᱴᱮᱵᱚᱨᱠᱩᱞᱳᱥᱤᱥ ᱟᱨ ᱵᱨᱩᱥᱮᱞᱟ ᱮᱵᱟᱨᱴᱟᱥ ᱾"
33,ᱚᱰᱟᱨ ᱨᱮᱭᱟᱜ ᱚᱱᱛᱟᱨᱮ ᱠᱷᱚᱱ ᱜᱩᱛᱚᱱ ᱫᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱥᱟᱢᱲᱟᱣ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?,"ᱵᱤᱨᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱥᱟᱡᱚᱥ ᱫᱚᱦᱚ ᱢᱮ, ᱞᱟᱦᱟ ᱨᱮᱭᱟᱜ ᱫᱟᱹᱨᱩ ᱵᱟᱛᱟᱶ ᱢᱮ, ᱜᱮᱢᱮᱧ ᱟᱠᱟᱱ ᱫᱟᱜ ᱠᱷᱚᱱ ᱫᱟᱹᱨᱩ ᱵᱚᱱᱚᱫᱚᱞ ᱢᱮ ᱟᱨ ᱵᱤᱨᱤᱭᱟᱹ ᱠᱚ ᱵᱮᱶᱦᱟᱨ ᱴᱩᱭᱤᱠᱮᱱ ᱮᱢ ᱢᱮ ᱾"
34,ᱴᱤᱭᱮᱴ ᱪᱮᱛᱟᱱ ᱨᱮ ᱪᱮᱫ ᱪᱮᱫ ᱜᱷᱟᱹᱞᱟᱱ ᱡᱩᱭᱟᱹᱱ ᱧᱟᱢᱚᱜᱼᱟ ᱾,"ᱠᱞᱳᱥᱴᱨᱤᱰᱤᱭᱟ ᱥᱯᱳᱨᱥ, ᱠᱳᱞᱤᱯᱷᱚᱨᱚᱢ ᱵᱮᱠᱴᱮᱨᱤᱭᱟ ᱟᱨ ᱦᱚᱭᱦᱩᱫᱤᱥ ᱨᱮᱭᱟᱜ ᱡᱮᱠᱨᱳᱵᱤᱠ ᱾"
35,ᱜᱳᱣ ᱨᱮᱭᱟᱜ ᱠᱳᱴ ᱫᱚ ᱪᱮᱫ ᱞᱮᱠᱟ ᱠᱟᱛᱮ ᱫᱳᱠᱟᱱ ᱨᱮᱭᱟᱜ ᱚᱛᱢᱚᱱ ᱨᱮ ᱜᱚᱲᱚ ᱮᱢᱼᱟ?,ᱱᱚᱶᱟ ᱫᱚ ᱢᱮᱲ ᱟᱨ ᱦᱩᱰᱤᱧ ᱡᱮᱹᱥᱩᱢ ᱠᱚ ᱤᱫᱤ ᱮᱫᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱥᱚᱨᱟᱥᱚᱨᱤ ᱥᱮ ᱵᱮᱼᱥᱚᱨᱟᱥᱟᱹᱨᱤ ᱞᱮᱠᱟᱛᱮ ᱫᱳᱠᱟᱱ ᱟᱨ ᱵᱷᱟᱲᱟ ᱨᱮᱭᱟᱜ ᱦᱚᱭ ᱮ ᱮᱥᱮᱨ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾
36,ᱜᱚᱭ ᱨᱮᱭᱟᱜ ᱠᱳᱴ ᱠᱷᱚᱱ ᱜᱷᱟᱹᱞ ᱫᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱠᱚᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?,"ᱵᱮᱼᱵᱟᱹᱛᱤᱞ ᱞᱮᱠᱟᱛᱮ ᱠᱟᱪ ᱠᱞᱤᱯ ᱠᱚᱨᱟᱣ, ᱵᱨᱚᱥ ᱠᱚᱨᱟᱣ ᱟᱨ ᱥᱟᱨᱦᱟᱶ ᱫᱚᱦᱚ ᱾"
37,ᱫᱳᱠᱟᱱ ᱨᱮᱭᱟᱜ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱦᱚᱭᱦᱩᱫᱤᱥ ᱫᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱫᱳᱠᱟᱱ ᱨᱮᱭᱟᱜ ᱚᱛᱢᱚᱱ ᱮ ᱮᱥᱮᱨᱼᱟ?,"ᱦᱚᱭ ᱟᱨ ᱡᱳᱜᱟᱡᱳᱜ ᱛᱟᱞᱟᱛᱮ ᱫᱟᱹᱨᱰᱩ, ᱥᱟᱨ, ᱯᱮᱨᱮᱪ ᱟᱨ ᱠᱷᱮᱹᱰ ᱨᱮᱭᱟᱜ ᱵᱮᱹᱥᱮᱫ ᱫᱚ ᱫᱟᱹᱨᱰᱩ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
38,ᱰᱩᱞᱟᱹᱣ ᱢᱟᱲᱟᱝ ᱪᱮᱫ ᱪᱮᱫ ᱠᱟᱹᱢᱤ ᱠᱚ ᱵᱟᱛᱟᱣᱟ ᱾,"ᱥᱩᱯᱤᱝ, ᱠᱷᱟᱹᱫᱽ ᱥᱟᱢᱵᱲᱟᱣ, ᱵᱤᱨᱤᱭᱟᱹ ᱠᱚ ᱵᱨᱚᱥ ᱠᱚᱨᱟᱣ, ᱟᱨ ᱥᱟᱵᱟᱫ ᱚᱲᱟᱜ ᱨᱮᱭᱟᱜ ᱚᱛᱢᱚᱱ ᱮ ᱵᱚᱱᱚᱫᱚᱞ ᱞᱮᱫᱟ ᱾"
39,ᱵᱷᱟᱥᱴᱟᱹ ᱚᱲᱟᱜ ᱨᱮ ᱦᱚᱭ ᱨᱮᱭᱟᱜ ᱜᱩᱛᱚᱱ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱠᱚᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?,ᱥᱟᱡᱚᱥ ᱫᱚᱦᱚ ᱢᱮ ᱟᱨ ᱦᱩᱰᱤᱧᱼᱴᱚᱯ ᱢᱩᱠ ᱨᱮᱭᱟᱜ ᱯᱮᱞᱤ ᱵᱟᱝᱠᱷᱟᱱ ᱰᱩᱞᱟᱹᱣ ᱢᱮᱥᱤᱱ ᱵᱮᱣᱦᱟᱨ ᱢᱮ ᱾
40,ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱰᱟᱣᱩᱱᱞᱳᱰ ᱨᱮᱭᱟᱜ ᱵᱟᱛᱚᱱ ᱠᱚᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱢᱟᱨᱟᱝ ᱚᱛᱢᱚᱱ ᱨᱮᱭᱟᱜ ᱯᱷᱮᱰᱟᱛ ᱠᱟᱱᱟ?,"ᱚᱰᱮᱠᱷᱟᱱᱟᱜ دودھ ᱨᱮᱭᱟᱜ ᱥᱚᱞᱤᱠ ᱠᱚᱫᱚ ᱵᱮᱠᱴᱤᱨᱤᱭᱟ ᱨᱮᱭᱟᱜ ᱵᱟᱹᱲᱛᱤ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱩᱯᱟᱹᱭ ᱮᱢᱼᱟ, ᱡᱳᱜᱟᱡᱳᱜ ᱚᱠᱛᱮ ᱨᱮ ᱪᱷᱟᱹᱨᱟᱜ دودھ ᱮ ᱚᱛᱚᱢᱼᱟ ᱾"
41,ᱰᱟᱣᱩᱱᱞᱳᱰ ᱨᱮᱭᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱥᱟᱧᱪᱟᱣ ᱦᱚᱨᱟ ᱫᱚ ᱪᱮᱫ?,ᱥᱟᱱᱟᱢ ᱵᱮᱣᱦᱟᱨ ᱢᱟᱲᱟᱝ ᱟᱨ ᱛᱟᱭᱚᱢ ᱛᱮ ᱥᱩᱡᱚᱠ ᱫᱚ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱞᱮᱠᱟᱛᱮ ᱪᱚᱞᱟᱣ ᱟᱨ ᱥᱮᱱᱤᱴᱤᱡᱤᱡᱽ ᱠᱚᱨᱟᱣ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱾
42,ᱫᱳᱠᱟᱱ ᱠᱚ ᱫᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱫᱳᱠᱟᱱ ᱫᱚ ᱵᱟᱹᱲᱤᱡ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾,"ᱜᱷᱟᱹᱞ ᱟᱠᱟᱱ ᱜᱷᱟᱹᱞ, ᱜᱷᱟᱹᱞ ᱟᱠᱟᱱ ᱜᱷᱟᱹᱞ, ᱠᱚᱥᱤ, ᱦᱟᱹᱱᱥᱤ ᱟᱨ ᱵᱮᱼᱲᱤᱪᱟᱹᱲ ᱥᱟᱡᱚᱥ ᱛᱟᱞᱟᱛᱮ ᱾"
43,ᱪᱮᱫ ᱪᱮᱫ ᱥᱟᱡᱚᱥᱟᱱ ᱦᱚᱨᱟ ᱠᱚ ᱯᱟᱞᱟᱣ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ?,"ᱦᱤᱫᱤᱡ ᱪᱚᱞᱟᱣ ᱢᱮ, ᱮᱱᱴᱤᱥᱤᱯᱴᱤᱠ ᱵᱮᱣᱦᱟᱨ ᱢᱮ, ᱰᱩᱞᱟᱹᱣ ᱚᱠᱛᱚ ᱵᱤᱞᱟᱹᱜ ᱮ ᱵᱚᱱᱚᱫᱚᱞ ᱢᱮ, ᱟᱨ ᱜᱚᱴᱟᱼᱵᱩᱴᱟᱹ ᱦᱚᱲᱢᱚ ᱪᱮᱠᱯᱚᱯ ᱢᱮ ᱾"
44,ᱫᱟᱜ ᱫᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ دودھ ᱮ ᱮᱥᱮᱨᱼᱟ?,ᱮᱥᱮᱨ ᱟᱠᱟᱱ ᱫᱟᱜ ᱠᱳᱞᱤᱯᱷᱚᱨᱚᱢ ᱟᱨ ᱯᱷᱤᱠᱮᱞ ᱥᱴᱨᱮᱯᱴᱳᱠᱳᱥᱤ ᱞᱮᱠᱟᱱ ᱵᱮᱠᱴᱤᱨᱤᱭᱟ ᱠᱚ ᱮᱛᱚᱦᱚᱵ ᱞᱮᱫᱟ ᱾
45,ᱫᱟᱜ ᱫᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱥᱩᱛᱚ ᱫᱚᱦᱚ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?,ᱵᱮᱣᱦᱟᱨ ᱢᱟᱲᱟᱝ ᱫᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱢᱮ ᱟᱨ ᱠᱞᱳᱨᱤᱱᱮᱥᱚᱱ ᱛᱟᱞᱟᱛᱮ ᱱᱚᱶᱟ ᱫᱚ ᱵᱮᱹᱥᱱᱤᱵᱩᱴᱟᱹ ᱢᱮ ᱾
46,ᱢᱮᱥᱤᱱ ᱨᱮᱭᱟᱜ ᱵᱮᱼᱵᱩᱴᱟᱹ ᱵᱮᱶᱦᱟᱨ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ دودھ ᱮ ᱮᱥᱮᱨ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ?,ᱱᱚᱶᱟ ᱫᱚ دودھ ᱨᱮᱭᱟᱜ ᱦᱟᱹᱱ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱟᱨ ᱢᱮᱠᱨᱳᱵᱟᱭᱮᱞ ᱜᱮᱢᱮᱧ ᱮ ᱵᱟᱹᱲᱛᱤ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾ 
47,ᱫᱳᱠᱟᱱ ᱨᱮᱭᱟᱜ ᱢᱮᱥᱤᱱ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱫᱚᱦᱚ ᱦᱩᱭᱩᱜᱼᱟ?,ᱟᱭᱳᱰᱤᱱᱼᱵᱮᱹᱥᱰ ᱰᱤᱥᱤᱱᱮᱯᱷᱮᱴᱮᱱᱴ ᱵᱮᱣᱦᱟᱨ ᱠᱟᱛᱮ ᱚᱱᱟ ᱠᱚ ᱥᱟᱨᱦᱟᱶ ᱟᱨ ᱥᱮᱱᱤᱴᱤᱡᱤᱡᱽ ᱠᱚᱨᱟᱣ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ ᱾
48,ᱫᱳᱠᱟᱱ ᱫᱚᱦᱚ ᱚᱠᱛᱚ ᱪᱮᱫ ᱵᱮᱠᱴᱮᱨᱤᱭᱟ ᱵᱮᱱᱟᱣᱚᱜᱼᱟ?,ᱥᱤᱭᱩᱰᱳᱢᱳᱱᱟᱥ ᱞᱮᱠᱟᱱ ᱥᱟᱭᱠᱨᱳᱴᱨᱟᱯᱷᱤᱠ ᱵᱮᱠᱴᱤᱨᱤᱭᱟ ᱾
49,ᱥᱟᱫᱷᱟᱨᱚᱱ ᱦᱚᱭᱦᱩᱫᱥᱩᱢ ᱪᱮᱫ?,ᱵᱮᱠᱴᱤᱨᱤᱭᱟ ᱨᱮᱭᱟᱜ ᱵᱟᱹᱲᱛᱤ ᱵᱚᱱᱚᱫᱚᱞ ᱞᱟᱹᱜᱤᱫ 0ᱼ5 ° ᱥᱮᱞᱥᱤᱭᱟᱥ ᱢᱩᱫᱨᱮ ᱾
50,ᱞᱮᱠᱴᱤᱠ ᱮᱥᱤᱰ ᱵᱮᱠᱴᱮᱨᱤᱭᱟ ᱫᱚ دودھ ᱨᱮ ᱪᱮᱫ ᱮᱱᱮᱢᱮ ᱯᱟᱞᱟᱣᱼᱟ?,"ᱩᱱᱠᱩ ᱫᱚ ᱞᱮᱠᱴᱳᱡᱽ ᱫᱚ ᱞᱮᱠᱴᱤᱠ ᱮᱥᱤᱰ ᱨᱮ ᱯᱷᱮᱨᱢᱮᱱᱴ ᱠᱟᱛᱮ, ᱡᱟᱦᱟᱸ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱥᱚᱨᱤᱝ ᱟᱨ ᱠᱚᱨᱰᱞᱤᱝ ᱦᱳᱭᱳᱜᱼᱟ ᱾"
51,دودھ ᱨᱮ ᱜᱮᱥ ᱵᱮᱱᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱡᱩᱠᱛᱤᱣᱟᱱ ᱵᱮᱠᱴᱤᱨᱤᱭᱟ ᱨᱮᱭᱟᱜ ᱧᱩᱛᱩᱢ ᱚᱞ ᱢᱮ ᱾,"ᱮᱨᱳᱵᱮᱠᱴᱟᱨ ᱮᱨᱤᱳᱡᱤᱱ, ᱵᱮᱥᱤᱞᱟᱥ ᱯᱚᱞᱤᱢᱤᱠᱥᱟ ᱟᱨ ᱠᱞᱳᱥᱴᱨᱤᱰᱤᱭᱟᱢ ᱵᱤᱭᱩᱴᱤᱨᱤᱠᱟᱢ ᱾"
52,ᱪᱮᱫ ᱡᱩᱭᱟᱹᱱ ᱨᱳᱯᱤ ᱥᱮ ᱥᱞᱤᱢ دودھ ᱨᱮᱭᱟᱜ ᱚᱡᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ?,ᱮᱞᱠᱟᱞᱤᱡᱤᱱᱥ ᱾ 
53,ᱡᱮᱥᱴ ᱟᱨ ᱢᱳᱞᱰ ᱫᱚ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ دودھ ᱮ ᱮᱥᱮᱨᱼᱟ?,"ᱱᱚᱶᱟ ᱠᱚ ᱯᱷᱟᱨᱢᱮᱱᱴᱮᱥᱚᱱ ᱟᱨ ᱜᱷᱟᱹᱞ ᱨᱮᱭᱟᱜ ᱚᱡᱮ ᱦᱳᱭᱳᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱥᱳᱯᱳᱨ ᱟᱨ ᱥᱩᱪᱟᱹᱨ ᱮ ᱵᱚᱱᱚᱫᱚᱞᱼᱟ ᱾"
54,ᱢᱩᱫ ᱨᱮ ᱥᱟᱭᱠᱨᱳᱴᱨᱟᱯᱷᱤᱠ ᱵᱮᱠᱴᱮᱨᱤᱭᱟ ᱫᱚ ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱟᱱᱟᱴ ᱟᱱᱟᱜ ᱠᱟᱱᱟ?,"ᱱᱚᱶᱟ ᱠᱚ ᱨᱮᱯᱷᱨᱤᱡᱨᱮᱥᱚᱱ ᱨᱮᱭᱟᱜ ᱮᱞ ᱨᱮ ᱡᱟᱱᱟᱢᱚᱜᱼᱟ ᱟᱨ ᱯᱮᱥᱴᱩᱨᱟᱭᱡᱮᱥᱚᱱ ᱠᱷᱚᱱ ᱮ ᱴᱮᱦᱟᱴᱚᱜᱼᱟ, ᱥᱟᱧᱪᱟᱣ ᱚᱠᱛᱚ ᱵᱮᱠᱴᱤᱨᱤᱭᱟ ᱨᱮᱭᱟᱜ ᱞᱮᱠᱷᱟ ᱠᱚ ᱵᱟᱹᱲᱛᱤᱼᱟ ᱾"
55,ᱫᱳᱠᱟᱱ ᱨᱮ ᱴᱟᱨᱢᱳᱰᱩᱨᱤᱠ ᱵᱮᱠᱴᱤᱨᱤᱭᱟ ᱨᱮᱭᱟᱜ ᱜᱚᱱᱚᱝ ᱪᱮᱫ?,ᱩᱱᱠᱩ ᱫᱚ ᱦᱤᱫᱤᱡ ᱨᱮ ᱴᱮᱠᱟᱣ ᱠᱟᱛᱮ ᱠᱚ ᱛᱟᱦᱮᱸᱱᱟ ᱟᱨ ᱯᱚᱨᱟᱢᱚᱥ ᱟᱠᱟᱱ ᱰᱟᱦᱚᱠ ᱨᱮ ᱠᱚ ᱛᱟᱦᱮᱸᱱᱟ ᱾
56,ᱰᱩᱞᱟᱹᱣ ᱛᱟᱭᱚᱢ ᱛᱟᱭᱚᱢ ᱠᱷᱚᱱᱜᱮ ᱰᱩᱞᱟᱹᱜ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱦᱟᱹᱱ ᱦᱩᱭᱩᱜᱼᱟ?,ᱵᱮᱠᱴᱤᱨᱤᱭᱟ ᱨᱮᱭᱟᱜ ᱵᱟᱹᱲᱛᱤ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱜᱩᱱ ᱟᱨ ᱨᱩᱠᱷᱤᱭᱟᱹ ᱫᱚᱦᱚ ᱞᱟᱹᱜᱤᱫ ᱾
57,ᱰᱚᱭᱟᱨᱤ ᱚᱲᱟᱜ ᱨᱮ ᱱᱟᱯᱟᱭ ᱛᱟᱦᱮᱸᱱ ᱨᱮᱭᱟᱜ ᱚᱡᱮ ᱫᱚ ᱪᱮᱫ?,"ᱱᱟᱯᱟᱭ ᱛᱟᱦᱮᱸᱱ ᱚᱲᱟᱜ ᱵᱤᱨᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱥᱟᱫᱮᱥ, ᱥᱮᱱᱤᱴᱮᱥᱚᱱ, ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮᱹᱣᱟᱱᱟᱜ ᱵᱮᱶᱦᱟᱨ ᱮ ᱜᱚᱴᱟ ᱞᱮᱫᱟ ᱾"
58,ᱵᱟᱹᱲᱤᱡ ᱰᱚᱭᱟᱨᱤ ᱚᱲᱟᱜ ᱠᱚ ᱪᱮᱫ?,"ᱱᱚᱶᱟ ᱫᱚ ᱠᱟᱹᱢᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱠᱷᱚᱨᱪᱟ ᱵᱟᱹᱲᱛᱤ, ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮ ᱠᱚᱢ ᱟᱨ ᱢᱩᱪᱟᱹᱫ ᱫᱷᱟᱹᱵᱤᱡ ᱰᱮᱨᱤ ᱵᱤᱨᱤᱫ ᱨᱮᱭᱟᱜ ᱜᱚᱱᱚᱝ ᱠᱚᱢᱼᱟ ᱾"
59,ᱰᱚᱭᱟᱨᱤ ᱚᱲᱟᱜ ᱵᱮᱱᱟᱣ ᱚᱠᱛᱚ ᱪᱮᱫ ᱚᱡᱮ ᱠᱚ ᱜᱚᱴᱟ ᱫᱚᱦᱚ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ?,"ᱵᱤᱨᱤᱭᱟᱹ ᱠᱚᱣᱟᱜ ᱱᱟᱯᱟᱭ, ᱥᱮᱱᱤᱴᱮᱥᱚᱱ, ᱡᱩᱠᱛᱤ ᱾"
60,ᱰᱚᱭᱟᱨᱤ ᱚᱲᱟᱜ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱟᱝ ᱴᱷᱟᱶ ᱵᱟᱪᱷᱱᱟᱣ ᱚᱠᱛᱚ ᱪᱮᱫ ᱢᱩᱲᱩᱫ ᱚᱡᱮ ᱠᱚ ᱩᱭᱦᱟᱹᱨ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ?,"ᱴᱳᱯᱳᱜᱨᱟᱯᱷᱤ, ᱰᱮᱨᱮᱱᱹᱡᱽ, ᱚᱛ ᱨᱮᱭᱟᱜ ᱞᱮᱠᱟᱱ, ᱥᱩᱱᱤᱵᱚᱞ ᱮᱥᱮᱨ, ᱮᱥᱮᱨ, ᱫᱟᱜ ᱥᱟᱨᱵᱷᱟᱨ, ᱥᱳᱨᱥᱳᱯᱳᱨ, ᱠᱟᱹᱢᱤᱭᱟᱹ, ᱵᱟᱡᱟᱨ ᱟᱨ ᱵᱤᱡᱽᱞᱤ ᱾"
61,ᱢᱤᱫᱴᱟᱝ ᱰᱚᱭᱟᱨᱤ ᱚᱲᱟᱜ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱛᱟᱱ ᱚᱛᱚᱢ ᱨᱮ ᱢᱮᱱᱟᱜ ᱟ?,ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱫᱟᱜ ᱟᱨ ᱵᱮᱼᱲᱤᱪᱟᱹᱨ ᱨᱮᱭᱟᱜ ᱜᱚᱴᱟᱼᱵᱩᱴᱟᱹ ᱵᱚᱱᱚᱫᱚᱞ ᱟᱨ ᱵᱮᱼᱦᱟᱹᱛᱤᱞ ᱴᱷᱟᱶ ᱵᱚᱱᱚᱫᱚᱞ ᱞᱟᱹᱜᱤᱫ ᱾
62,ᱰᱚᱭᱟᱨᱤ ᱵᱮᱱᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱞᱟᱛᱟᱨ ᱚᱛᱢᱚᱱ ᱟᱨ ᱞᱟᱛᱟᱨ ᱚᱛᱢᱚᱱ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱵᱚᱱᱚᱫᱚᱞ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱱᱚᱶᱟ ᱠᱚᱫᱚ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱵᱚᱱᱚᱫᱚᱞ, ᱵᱮᱼᱲᱤᱪᱟᱹᱲ ᱟᱨ ᱨᱳᱜᱽ ᱨᱮᱭᱟᱜ ᱟᱱᱟᱴ ᱵᱟᱹᱲᱛᱤ ᱨᱮᱭᱟᱜ ᱚᱡᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱾"
63,ᱰᱚᱭᱟᱨᱤ ᱚᱲᱟᱜ ᱵᱮᱱᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫ ᱞᱮᱠᱟᱱ ᱢᱮᱲᱤ ᱱᱟᱯᱟᱭ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ?,"ᱛᱷᱟᱭᱤ ᱢᱮᱲᱤ ᱡᱟᱦᱟᱸ ᱫᱚ ᱟᱹᱰᱤ ᱵᱟᱹᱲᱛᱤ ᱵᱟᱝ ᱯᱟᱥᱱᱟᱣᱚᱜᱼᱟ ᱥᱮ ᱜᱷᱚᱴ ᱵᱟᱝ ᱦᱳᱭᱳᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱫᱟᱲᱮᱹᱣᱟᱱᱟᱜ ᱟᱨ ᱴᱮᱠᱟᱣ ᱫᱚᱦᱚ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ ᱾"
64,ᱰᱚᱭᱟᱨᱤ ᱚᱲᱟᱜ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱚᱛᱢᱚᱱ ᱚᱛᱚᱢ ᱵᱚᱱᱚᱫᱚᱞ ᱦᱩᱭᱩᱜᱼᱟ?,ᱱᱚᱶᱟ ᱫᱚ ᱵᱮᱱᱟᱣ ᱵᱟᱝ ᱠᱟᱛᱮ ᱪᱟᱥ ᱞᱟᱹᱜᱤᱫ ᱫᱚᱦᱚ ᱦᱳᱭᱳᱜᱼᱟ ᱾
65,ᱰᱚᱭᱟᱨᱤ ᱚᱲᱟᱜ ᱠᱚ ᱪᱮᱫ ᱞᱮᱠᱟ ᱦᱚᱭᱩᱜ ᱟ ᱾,ᱰᱷᱮᱨ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱫᱤᱱ ᱨᱮᱭᱟᱜ ᱥᱩᱡᱚᱥ ᱧᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱡᱮᱞᱮᱧ ᱚᱛ ᱫᱚ ᱩᱛᱛᱚᱨᱼ ᱫᱚᱠᱠᱷᱤᱱ ᱥᱮᱫ ᱪᱟᱞᱟᱣ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱾
